content,score,sentiment,text_clean
mudah banget ngedit di sini dan gratis makasih🫰🥰,5,positif,mudah banget ngedit gratis terimakasih
Bisa mencari inspirasi bagi Q yg gaptek soal sosmed,5,positif,cari inspirasi aku yang gaptek sosmed
"sehr hilfreich, um eine Karriere nach Geschmack und Hobby zu entwickeln 💖✍️",5,positif,sehr hilfreich um eine karriere nach geschmack und hobby zu entwickeln
lemon8 baguuzzz banget.. infonya bermanfaat bagi kaum perempuan.. jadi tambah ilmu dech.. thanks to lemon8.. 😊😊,5,positif,lemon baguuzzz banget info manfaat kaum perempuan ilmu deh terimakasih tapi lemon
konten manffaat penuh inspirasi,5,positif,konten manffaat penuh inspirasi
pokoknya saya suka,5,positif,pokok suka
menambah pengalaman krn disini banyak yg saya pelajari,5,positif,tambah alam karena yang ajar
banyak ide² kreatif yg saya temukan di sini,5,positif,ide kreatif yang temu
saya baru di lemon8 jadi belum ada pengalaman,5,positif,lemon alam
"aplikasi yang amat sangat bagus banyak pengetahuan, ilmu yang di dapat, dan juga tips2 yang sangat bermanfaat",5,positif,aplikasi bagus tahu ilmu tips manfaat
bagus tpi sayang ngak ad fitur livenya,5,positif,bagus tapi sayang tidak ada fitur livenya
Bnyk inspirasi masakan. the best lah,5,positif,banyak inspirasi masakan the baik
"banyak pengalaman seru, dan kita sebagai kreator kaya d manja, soalnya selalu d kasih ide buat konten apa per-hari na ya, seru banget🥰",5,positif,alam seru kreator kayak ada manja ada kasih ide konten hari nya ya seru banget
"aplikasi yg mnurut q bnyak ide bnyak tmbah ilmu & baik bagi q & para lemoners lainnya yg membutuhkan, trutama resep,& plajaran trutama mapel B.Inggris jg Matematika agar bs tmbah ilmu & mngingat kmbali utk mengajari cucu dirumah.smoga banyak yg suka dgn aplikasi Lemon Krn bnyak manfaatnya. mksih buat creatornya smoga sukses sllu.",5,positif,aplikasi yang turut aku banyak ide banyak tambah ilmu aku lemoners yang butuh utama resep plajaran utama mapel binggris juga matematika bisa tambah ilmu mngingat kembali untuk ajar cucu dirumahsmoga yang suka dengan aplikasi lemon karena banyak manfaat terimakasih creatornya moga sukses selalu
mantap,5,positif,mantap
Sangat mudah mencari menu dan informasi yang diinginkan,5,positif,mudah cari menu informasi
pokoknya mantap dah ..,5,positif,pokok mantap deh
sangat menghibur,5,positif,hibur
foto lengkap,1,negatif,foto lengkap
Menambah ilmu jauh lebih berbobot,5,positif,tambah ilmu bobot
ok end mantap,5,positif,ok end mantap
bagus bangettt aplikasinya,4,positif,bagus banget aplikasi
baru mencoba,5,positif,coba
bagus banget 🥰🥰🥰🥰,5,positif,bagus banget
mantab,5,positif,mantab
"Suka banget sama Lemon8, berapa positif vibes disini ✨",5,positif,suka banget lemon positif vibes
love teballl😍,5,positif,love teballl
sangat bermanfaat,5,positif,manfaat
aplikasi ini sangat baguss dan bermanfaat untuk apapun ituu,5,positif,aplikasi bagus manfaat apa itu
sangat menghibur sekali,5,positif,hibur
"Berbagi pengalaman hidup di sini, sejauh ini merasa nyaman... Terimakasih lemon8😇",5,positif,bagi alam hidup nyaman terimakasih lemon
